Car Name,Car Webpage,Car Health,Price,Car Exterior Color,Car Interior Color,Miles,Fuel Type,Fuel Efficiency (mileage),EPA Range,Transmission,Drivetrain,Engine,Location,Listing Status,VIN,Stock Number,Accidents,Owners,Car Title Status,Use Type,Vehicle Last Inspected,Make,Model,Trim,Body Class,Model Year,Seating Capacity
2023 Chevrolet Blazer 2LT AWD,https://www.truecar.com/used-cars-for-sale/listing/3GNKBHR40PS106689/2023-chevrolet-blazer/,Used,"$18,300",Summit White,Jet Black,"50,691 miles",Gas,22 city / 27 highway,,Automatic Transmission,AWD,2.0L Inline-4 Gas Inline,"Sanford, FL (2212 miles away)",Listed 86 days ago,3GNKBHR40PS106689,POSE6689,0,1,Clean Title,Rental,2/10/2025,CHEVROLET,Blazer,2LT,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),2023,
2019 Ford Mustang Bullitt Fastback,https://www.truecar.com/used-cars-for-sale/listing/1FA6P8K03K5504880/2019-ford-mustang/,Used,"$40,998",Dark Highland Green Metallic,Ebony W/Green Stitch,"12,745 miles",Gas,15 city / 24 highway,,Manual Transmission,RWD,5.0L V-8 Gas V,"Hoover, AL (9 miles away)",Listed 4 days ago,1FA6P8K03K5504880,24059582,0,3,Clean Title,Personal,2/9/2025,FORD,Mustang,,Coupe,2019,4
2021 Ford F-150 XLT SuperCrew 5.5' Box 4WD,https://www.truecar.com/used-cars-for-sale/listing/1FTFW1E54MKD35226/2021-ford-f-150/,Used,"$35,470",Oxford White,Black Dark Slate,"27,851 miles",Gas,19 city / 22 highway,,Automatic Transmission,4WD,5.0L V-8 Gas V,"Kennesaw, GA (1933 miles away)",Listed 87 days ago,1FTFW1E54MKD35226,MKD35226,0,1,Clean Title,Personal,2/11/2025,FORD,F-150,,Pickup,2021,
2021 Ford Bronco Big Bend 4 Door 4WD,https://www.truecar.com/used-cars-for-sale/listing/1FMDE5BH0MLA83903/2021-ford-bronco/,Certified Pre-Owned,"$35,525",Area 51,Dark Gray W/Black Onyx,"30,957 miles",Gas,20 city / 22 highway,,Automatic Transmission,4WD,2.3L Inline-4 Gas Inline,"Macon, GA (2001 miles away)",Listed 3 days ago,1FMDE5BH0MLA83903,B3989,0,1,Clean Title,Personal,2/18/2025,FORD,Bronco,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),2021,
2017 Mercedes-Benz GLA 250 4MATIC,https://www.truecar.com/used-cars-for-sale/listing/WDCTG4GB4HJ314998/2017-mercedes-benz-gla/,Used,"$11,900",Cirrus White,Sahara Beige,"86,024 miles",Gas,23 city / 31 highway,,Automatic Transmission,AWD,2.0L Inline-4 Gas Inline,"Delray Beach, FL (2339 miles away)",Listed 24 days ago,WDCTG4GB4HJ314998,PF12619A,0,2,Clean Title,Personal,1/28/2025,MERCEDES-BENZ,GLA-Class,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),2017,
2023 Ford F-150 XLT SuperCrew 5.5' Box 2WD,https://www.truecar.com/used-cars-for-sale/listing/1FTEW1CP7PKD24628/2023-ford-f-150/,Used,"$28,198",Blue Metallic,Black,"27,428 miles",Gas,20 city / 24 highway,,Automatic Transmission,RWD,2.7L V-6 Gas V,"Palmetto Bay, FL (2345 miles away)",Listed 169 days ago,1FTEW1CP7PKD24628,PKD24628,0,1,Clean Title,Rental,2/2/2025,FORD,F-150,SuperCrew,Pickup,2023,
2024 Chevrolet Equinox LT with 1LT FWD,https://www.truecar.com/used-cars-for-sale/listing/3GNAXKEG0RS142587/2024-chevrolet-equinox/,Used,"$25,491",Sterling Gray Metallic,Jet Black,"24,410 miles",Gas,26 city / 31 highway,,Automatic Transmission,FWD,1.5L Inline-4 Gas Inline,"Savannah, GA (2155 miles away)",Listed 14 days ago,3GNAXKEG0RS142587,RS142587,0,1,Clean Title,Rental,2/7/2025,CHEVROLET,Equinox,LT (1LT),Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),2024,
2023 Hyundai Santa Fe SEL AWD,https://www.truecar.com/used-cars-for-sale/listing/5NMS2DAJ8PH642638/2023-hyundai-santa-fe/,Used,"$24,998",Portofino Gray,Gray,"23,510 miles",Gas,22 city / 25 highway,,Automatic Transmission,AWD,2.5L Inline-4 Gas Inline,"Roswell, GA (9 miles away)",Listed 20 days ago,5NMS2DAJ8PH642638,26829932,0,1,Clean Title,Rental,1/16/2025,HYUNDAI,Santa Fe,SEL,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),2023,5
2015 Mercedes-Benz GLK 350 4MATIC,https://www.truecar.com/used-cars-for-sale/listing/WDCGG8JB5FG373778/2015-mercedes-benz-glk/,Used,"$9,499",Designo Diamond White Metallic,Sahara Beige/Mocha,"126,068 miles",Gas,18 city / 25 highway,,Automatic Transmission,AWD,3.5L V-6 Gas V,"Buford, GA (1965 miles away)",Listed 72 days ago,WDCGG8JB5FG373778,null,0,3,Clean Title,Fleet,12/11/2024,MERCEDES-BENZ,GLK-Class,4-MATIC,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),2015,
2019 GMC Acadia SLE with SLE-2 FWD,https://www.truecar.com/used-cars-for-sale/listing/1GKKNLLA5KZ105846/2019-gmc-acadia/,Used,"$12,732",Summit White,Jet Black,"124,336 miles",Gas,21 city / 26 highway,,Automatic Transmission,FWD,2.5L Inline-4 Gas Inline,"Newnan, GA (1931 miles away)",Listed 101 days ago,1GKKNLLA5KZ105846,2D61151A,0,1,Clean Title,Personal,1/26/2025,GMC,Acadia,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),2019,
