Car Name,Car Webpage,Car Health,Price,Car Exterior Color,Car Interior Color,Miles,Fuel Type,Fuel Efficiency (mileage),EPA Range,Transmission,Drivetrain,Engine,Location,Listing Status,VIN,Stock Number,Accidents,Owners,Car Title Status,Use Type,Vehicle Last Inspected,Make,Model,Trim,Body Class,Model Year,Seating Capacity
2018 Nissan Kicks SV,https://www.truecar.com/used-cars-for-sale/listing/3N1CP5CU4JL537742/2018-nissan-kicks/,Used,"$10,995",Super Black,Charcoal,"46,800 miles",Gas,31 city / 36 highway,,Automatic Transmission,FWD,1.6L Inline-4 Gas Inline,"Naugatuck, CT (2553 miles away)",Listed 120 days ago,3N1CP5CU4JL537742,537742N,0,3,Clean Title,Personal,1/6/2025,NISSAN,Kicks,,Hatchback/Liftback/Notchback,2018,5
2021 Hyundai Kona Ultimate AWD DCT,https://www.truecar.com/used-cars-for-sale/listing/KM8K5CA54MU602125/2021-hyundai-kona/,Used,"$15,980",Sonic Silver,Black,"84,358 miles",Gas,26 city / 29 highway,,Automatic Transmission,AWD,1.6L Inline-4 Gas Inline,"Northampton, MA (2561 miles away)",Listed 19 days ago,KM8K5CA54MU602125,SH25230A,0,1,Clean Title,Personal,2/1/2025,HYUNDAI,Kona,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),2021,5
2021 Ford Edge SEL AWD,https://www.truecar.com/used-cars-for-sale/listing/2FMPK4J99MBA19479/2021-ford-edge/,Used,"$24,400",Agate Black Metallic,Ebony,"21,806 miles",Gas,21 city / 28 highway,,Automatic Transmission,AWD,2.0L Inline-4 Gas Inline,"Fall River, MA (2645 miles away)",Listed 131 days ago,2FMPK4J99MBA19479,F3210A,0,1,Clean Title,Personal,12/26/2024,FORD,Edge,SEL,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),2021,5
2014 Subaru XV Crosstrek 2.0i Limited Automatic,https://www.truecar.com/used-cars-for-sale/listing/JF2GPAGCXE8235631/2014-subaru-xv-crosstrek/,Used,"$9,995",Dark Gray Metallic,Black,"102,200 miles",Gas,25 city / 33 highway,,Automatic Transmission,AWD,2.0L Flat-4 Gas Flat,"Naugatuck, CT (2553 miles away)",Listed 51 days ago,JF2GPAGCXE8235631,235631N,0,2,Clean Title,Personal,12/31/2024,SUBARU,XV CrossTrek,Limited,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),2014,
2013 Toyota Corolla LE Automatic,https://www.truecar.com/used-cars-for-sale/listing/2T1BU4EEXDC990384/2013-toyota-corolla/,Used,"$9,987",Nautical Blue Metallic,Ash,"112,925 miles",Gas,26 city / 34 highway,,Automatic Transmission,FWD,1.8L Inline-4 Gas Inline,"Danvers, MA (2642 miles away)",Listed 23 days ago,2T1BU4EEXDC990384,DC990384,0,6,Clean Title,Rental,1/28/2025,TOYOTA,Corolla,,Sedan/Saloon,2013,
2021 Toyota RAV4 LE AWD,https://www.truecar.com/used-cars-for-sale/listing/2T3F1RFVXMC213829/2021-toyota-rav4/,Used,"$26,490",Silver Sky Metallic,Black,"35,917 miles",Gas,27 city / 34 highway,,Automatic Transmission,AWD,2.5L Inline-4 Gas Inline,"Wellesley, MA (2631 miles away)",Listed 3 days ago,2T3F1RFVXMC213829,ST0182A,0,1,Clean Title,Personal,2/5/2025,TOYOTA,RAV4,LE,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),2021,5
"2023 Ram 1500 Big Horn Crew Cab 5'7"" Box 4WD",https://www.truecar.com/used-cars-for-sale/listing/1C6RRFFG9PN660949/2023-ram-1500/,Used,"$37,995",Diamond Black Crystal Pearlcoat,Diesel Gray/Black,"7,557 miles",Gas,19 city / 24 highway,,Automatic Transmission,4WD,3.6L V-6 Gas V,"Worcester, MA (2605 miles away)",Listed 182 days ago,1C6RRFFG9PN660949,64487,0,1,Clean Title,Fleet,1/19/2025,RAM,1500,Crew Cab,Pickup,2023,
2022 Honda Accord Sport SE 1.5T CVT,https://www.truecar.com/used-cars-for-sale/listing/1HGCV1F44NA080842/2022-honda-accord/,Used,"$20,995",Platinum White Pearl,Black,"88,008 miles",Gas,29 city / 35 highway,,Automatic Transmission,FWD,1.5L Inline-4 Gas Inline,"Raynham, MA (2649 miles away)",Listed 106 days ago,1HGCV1F44NA080842,36863A,0,1,Clean Title,Personal,1/20/2025,HONDA,Accord,Sport SE,Sedan/Saloon,2022,5
2019 Nissan Murano SV AWD,https://www.truecar.com/used-cars-for-sale/listing/5N1AZ2MS6KN123580/2019-nissan-murano/,Used,"$16,344",Gun Metallic,Graphite,"71,423 miles",Gas,20 city / 28 highway,,Automatic Transmission,AWD,3.5L V-6 Gas V,"Westborough, MA (2612 miles away)",Listed 59 days ago,5N1AZ2MS6KN123580,Y0931A,0,1,Clean Title,Personal,12/23/2024,NISSAN,Murano,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),2019,
2020 Porsche Taycan 4S,https://www.truecar.com/used-cars-for-sale/listing/WP0AB2Y13LSA51639/2020-porsche-taycan/,Used,"$57,900",Jet Black Metallic,Black/Bordeaux Red,"40,322 miles",Electric,,199 mi,Automatic Transmission,AWD,L - Electric,"Middletown, RI (2640 miles away)",Listed 46 days ago,WP0AB2Y13LSA51639,PH3085,0,2,Clean Title,Personal,1/5/2025,PORSCHE,Taycan,4S / 4S with Performance Pack,Sedan/Saloon,2020,
