Car Name,Car Webpage,Car Health,Price,Car Exterior Color,Car Interior Color,Miles,Fuel Type,Fuel Efficiency (mileage),EPA Range,Transmission,Drivetrain,Engine,Location,Listing Status,VIN,Stock Number,Accidents,Owners,Car Title Status,Use Type,Vehicle Last Inspected,Make,Model,Trim,Body Class,Model Year,Seating Capacity
2022 Honda Civic Sport Hatchback CVT,https://www.truecar.com/used-cars-for-sale/listing/19XFL2H89NE005381/2022-honda-civic/,Certified Pre-Owned,"$23,999",Crystal Black Pearl,Black,"26,493 miles",Gas,29 city / 37 highway,,Automatic Transmission,FWD,2.0L Inline-4 Gas Inline,"Reno, NV (124 miles away)",Listed 64 days ago,19XFL2H89NE005381,815281,0,1,Clean Title,Personal,12/19/2024,HONDA,Civic,Sport,Hatchback/Liftback/Notchback,2022,5
2011 Volvo XC60 AWD 4dr 3.0T R-Design,https://www.truecar.com/used-cars-for-sale/listing/YV4902DZ2B2152166/2011-volvo-xc60/,Used,"$6,995",Red,Black,"171,785 miles",Gas,17 city / 24 highway,,Automatic Transmission,AWD,3.0L Inline-6 Gas Inline,"PORTLAND, OR (476 miles away)",Listed 90 days ago,YV4902DZ2B2152166,MX1364,0,2,Clean Title,Personal,2/6/2025,VOLVO,XC60,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),2011,7
2024 Hyundai Elantra SEL IVT,https://www.truecar.com/used-cars-for-sale/listing/KMHLS4DG1RU691773/2024-hyundai-elantra/,Buy Online,"$20,191",Ultimate Red,Black,"7,720 miles",Gas,31 city / 40 highway,,Automatic Transmission,FWD,2.0L Inline-4 Gas Inline,"San Jose, CA (99 miles away)",Listed 1 day ago,KMHLS4DG1RU691773,UH9542X,0,1,Clean Title,Personal,2/17/2025,HYUNDAI,Elantra,SEL w/ Convenience Pkg,Sedan/Saloon,2024,
2021 Chevrolet Colorado ZR2 Crew Cab Short Box 4WD,https://www.truecar.com/used-cars-for-sale/listing/1GCGTEEN5M1108623/2021-chevrolet-colorado/,Used,"$32,500",Summit White,Jet Black,"68,129 miles",Gas,16 city / 18 highway,,Automatic Transmission,4WD,3.6L V-6 Gas V,"Gladstone, OR (462 miles away)",Listed 112 days ago,1GCGTEEN5M1108623,G24570A,0,1,Clean Title,Personal,1/15/2025,CHEVROLET,Colorado,ZR2,Pickup,2021,
2021 Tesla Model Y Long Range AWD,https://www.truecar.com/used-cars-for-sale/listing/5YJYGDEE5MF061345/2021-tesla-model-y/,Used,"$29,490",Red Multi-Coat,White/Black,"49,982 miles",Electric,,326 mi,Automatic Transmission,AWD,L - Electric,"Gresham, OR (470 miles away)",Listed 18 days ago,5YJYGDEE5MF061345,T061345,0,2,Clean Title,Personal,2/3/2025,TESLA,Model Y,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),2021,
"2017 Ram 3500 Limited Mega Cab 6'4"" Box 4WD",https://www.truecar.com/used-cars-for-sale/listing/3C63R3NL4HG611297/2017-ram-3500/,Used,"$31,991",Bright White Clearcoat,Black,"212,644 miles",Diesel,,,Automatic Transmission,4WD,6.7L V-6 Diesel V,"Edmonds, WA (628 miles away)",Listed 30 days ago,3C63R3NL4HG611297,null,0,1,Clean Title,Personal,2/5/2025,RAM,3500,Longhorn Mega Cab,Pickup,2017,5
"2021 Ford Transit Passenger Wagon T-350 XLT 148"" Low Roof RWD",https://www.truecar.com/used-cars-for-sale/listing/1FBAX2Y8XMKA66012/2021-ford-transit-passenger-wagon/,Used,"$35,300",Abyss Gray Metallic,Dark Palazzo Gray,"66,932 miles",Gas,,,Automatic Transmission,RWD,3.5L V-6 Gas V,"Wilsonville, OR (460 miles away)",Listed 25 days ago,1FBAX2Y8XMKA66012,MKA66012,0,1,Clean Title,Personal,1/27/2025,FORD,Transit,,Van,2021,
2018 Ford Focus SE Hatchback,https://www.truecar.com/used-cars-for-sale/listing/1FADP3K28JL254025/2018-ford-focus/,Used,"$12,321",Ingot Silver,Charcoal Black,"34,415 miles",Gas,26 city / 38 highway,,Automatic Transmission,FWD,2.0L Inline-4 Gas Inline,"Klamath Falls, OR (241 miles away)",Listed 20 days ago,1FADP3K28JL254025,T254025,0,0,Clean Title,Personal,2/1/2025,FORD,Focus,SE,Hatchback/Liftback/Notchback,2018,5
2024 Toyota Tundra SR5 CrewMax 5.5' Bed 4WD,https://www.truecar.com/used-cars-for-sale/listing/5TFLA5DB1RX131672/2024-toyota-tundra/,Used,"$44,500",Celestial Silver Metallic,Black,"22,282 miles",Gas,17 city / 23 highway,,Automatic Transmission,4WD,3.4L V-6 Gas V,"Portland, OR (464 miles away)",Listed 16 days ago,5TFLA5DB1RX131672,24352,0,1,Clean Title,Personal,2/5/2025,TOYOTA,Tundra,SR5,Pickup,2024,5
2024 Nissan Altima 2.5 SV FWD,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4DV8RN383995/2024-nissan-altima/,Used,"$18,998",Gun Metallic,Charcoal,"27,689 miles",Gas,27 city / 39 highway,,Automatic Transmission,FWD,2.5L Inline-4 Gas Inline,"Puyallup, WA (29 miles away)",Listed 14 days ago,1N4BL4DV8RN383995,26975838,0,1,Clean Title,Rental,2/7/2025,NISSAN,Altima,SV,Sedan/Saloon,2024,5
2010 Chevrolet Silverado 3500HD LT Crew Cab 4WD SRW,https://www.truecar.com/used-cars-for-sale/listing/1GC4K0B64AF101067/2010-chevrolet-silverado-3500hd/,Used,"$30,990",Summit White,Ebony,"125,817 miles",Diesel,,,Automatic Transmission,4WD,6.6L V-8 Diesel V,"Bend, OR (370 miles away)",Listed 31 days ago,1GC4K0B64AF101067,101067,0,1,Clean Title,Personal,1/21/2025,CHEVROLET,Silverado,LT,Pickup,2010,
2018 Audi Q7 Premium Plus 3.0S,https://www.truecar.com/used-cars-for-sale/listing/WA1LAAF71JD021626/2018-audi-q7/,Used,"$19,989",Night Black,Black,"80,867 miles",Gas,19 city / 25 highway,,Automatic Transmission,AWD,3.0L V-6 Gas V,"Bend, OR (370 miles away)",Listed 42 days ago,WA1LAAF71JD021626,021626,0,1,Clean Title,Personal,1/15/2025,AUDI,Q7,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),2018,7
