Car Name,Car Webpage,Car Health,Price,Exterior,Interior,Miles,Fuel Type,Fuel Efficiency (mileage),EPA Range,Transmission,Drivetrain,Engine,Location,Listing Status,VIN,Stock Number,Accidents,Owners,Car Title Status,Use Type,Vehicle Last Inspected
2016 BMW 320i Sedan RWD,https://www.truecar.com/used-cars-for-sale/listing/WBA8A9C52GK617200/2016-bmw-3-series/,Used,"$9,500",Mineral White Metallic,Black,"100,613 miles",Gas,24 city / 36 highway,,Automatic Transmission,RWD,2.0L Inline-4 Gas Inline,"South Gate, CA",Listed 177 days ago,WBA8A9C52GK617200,61720000,0,2,Clean Title,Personal,1/22/2025
2022 Ford Escape SEL AWD,https://www.truecar.com/used-cars-for-sale/listing/1FMCU9H92NUA44697/2022-ford-escape/,Used,"$13,999",Iconic Silver Metallic,Ebony,"86,719 miles",Gas,22 city / 31 highway,,Automatic Transmission,AWD,2.0L Inline-4 Gas Inline,"Glendale, CA",Listed 66 days ago,1FMCU9H92NUA44697,98955430,0,1,Clean Title,Personal,12/14/2024
2017 Jeep Grand Cherokee Overland RWD,https://www.truecar.com/used-cars-for-sale/listing/1C4RJECG0HC712822/2017-jeep-grand-cherokee/,Used,"$13,400",Ivory 3-Coat,Black,"113,659 miles",Gas,19 city / 26 highway,,Automatic Transmission,RWD,3.6L V-6 Gas V,"South Gate, CA",Listed 91 days ago,1C4RJECG0HC712822,71282200,0,2,Clean Title,Personal,2/2/2025
2006 Land Rover Range Rover HSE,https://www.truecar.com/used-cars-for-sale/listing/SALMF15476A205473/2006-land-rover-range-rover/,Used,"$7,995",Chawton White,Black,"125,677 miles",Gas,14 city / 18 highway,,Automatic Transmission,4WD,4.4L V-8 Gas V,"Sherman Oaks, CA",Listed 79 days ago,SALMF15476A205473,12834,0,3,Clean Title,Personal,12/30/2024
2017 Honda Civic LX Sedan CVT,https://www.truecar.com/used-cars-for-sale/listing/2HGFC2F54HH502101/2017-honda-civic/,Used,"$10,111",Crystal Black Pearl,Black,"130,797 miles",Gas,31 city / 40 highway,,Automatic Transmission,FWD,2.0L Inline-4 Gas Inline,"Van Nuys, CA",Listed 96 days ago,2HGFC2F54HH502101,2024344,0,2,Clean Title,Personal,1/28/2025
2020 Tesla Model 3 Performance Dual Motor AWD,https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EC9LF624117/2020-tesla-model-3/,Used,"$23,488",Pearl White Multi-Coat,Black,"53,466 miles",Electric,,310 mi,Automatic Transmission,AWD,L - Electric,"Beverly Hills, CA",Listed 24 days ago,5YJ3E1EC9LF624117,LF624117C,0,2,Clean Title,Personal,1/25/2025
2022 Toyota Prius LE FWD,https://www.truecar.com/used-cars-for-sale/listing/JTDKAMFU4N3180225/2022-toyota-prius/,Used,"$18,999",Black,Black,"19,524 miles",Hybrid,54 city / 50 highway,,Automatic Transmission,FWD,1.8L Inline-4 Hybrid Inline,"Los Angeles, CA",Listed 42 days ago,JTDKAMFU4N3180225,N3180225,0,1,Clean Title,Personal,1/7/2025
2019 Tesla Model X P100D,https://www.truecar.com/used-cars-for-sale/listing/5YJXCBE46KF154620/2019-tesla-model-x/,Used,"$34,777",Solid Black,Black,"99,604 miles",Electric,,289 mi,Automatic Transmission,AWD,L - Electric,"Culver City, CA",Listed 46 days ago,5YJXCBE46KF154620,T31015P,0,2,Clean Title,Fleet,1/3/2025
2005 Acura TL Automatic,https://www.truecar.com/used-cars-for-sale/listing/19UUA66265A033405/2005-acura-tl/,Used,"$7,995",Gray,Unknown,"107,472 miles",Gas,20 city / 29 highway,,Automatic Transmission,FWD,3.2L V-6 Gas V,"Los Angeles, CA",Listed 16 days ago,19UUA66265A033405,A033405K,0,2,Clean Title,Personal,2/2/2025
2022 Tesla Model Y Long Range AWD,https://www.truecar.com/used-cars-for-sale/listing/7SAYGAEE2NF402087/2022-tesla-model-y/,Used,"$20,999",Pearl White Multi-Coat,Black,"84,249 miles",Electric,,326 mi,Automatic Transmission,AWD,L - Electric,"Los Angeles, CA",Listed 34 days ago,7SAYGAEE2NF402087,402087,0,1,Clean Title,Personal,1/10/2025
