Car Name,Car Webpage,Car Health,Price,Car Exterior Color,Car Interior Color,Miles,Fuel Type,Fuel Efficiency (mileage),EPA Range,Transmission,Drivetrain,Engine,Location,Listing Status,VIN,Stock Number,Accidents,Owners,Car Title Status,Use Type,Vehicle Last Inspected,Make,Model,Trim,Body Class,Model Year,Seating Capacity
2022 Toyota Prius LE FWD,https://www.truecar.com/used-cars-for-sale/listing/JTDKAMFU8N3178798/2022-toyota-prius/,Used,"$19,999",Black,Black,"16,358 miles",Hybrid,54 city / 50 highway,,Automatic Transmission,FWD,1.8L Inline-4 Hybrid Inline,"Los Angeles, CA",Listed 42 days ago,JTDKAMFU8N3178798,N3178798,0,1,Clean Title,Personal,1/7/2025,TOYOTA,Prius,,Hatchback/Liftback/Notchback,2022,
2020 Tesla Model 3 Performance Dual Motor AWD,https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EC9LF624117/2020-tesla-model-3/,Used,"$23,488",Pearl White Multi-Coat,Black,"53,466 miles",Electric,,310 mi,Automatic Transmission,AWD,L - Electric,"Beverly Hills, CA",Listed 24 days ago,5YJ3E1EC9LF624117,LF624117C,0,2,Clean Title,Personal,1/25/2025,TESLA,Model 3,,Sedan/Saloon,2020,5
2015 Volkswagen Golf TSI SEL 4-door Automatic,https://www.truecar.com/used-cars-for-sale/listing/3VW217AU6FM009028/2015-volkswagen-golf/,Used,"$8,770",Blue,Black,"104,344 miles",Gas,25 city / 36 highway,,Automatic Transmission,FWD,1.8L Inline-4 Gas Inline,"Los Angeles, CA",Listed 96 days ago,3VW217AU6FM009028,null,0,3,Clean Title,Personal,1/28/2025,VOLKSWAGEN,Golf,,Hatchback/Liftback/Notchback,2015,
2022 Toyota Prius LE FWD,https://www.truecar.com/used-cars-for-sale/listing/JTDKAMFU4N3180225/2022-toyota-prius/,Used,"$18,999",Black,Black,"19,524 miles",Hybrid,54 city / 50 highway,,Automatic Transmission,FWD,1.8L Inline-4 Hybrid Inline,"Los Angeles, CA",Listed 42 days ago,JTDKAMFU4N3180225,N3180225,0,1,Clean Title,Personal,1/7/2025,TOYOTA,Prius,,Hatchback/Liftback/Notchback,2022,
2019 Tesla Model X P100D,https://www.truecar.com/used-cars-for-sale/listing/5YJXCBE46KF154620/2019-tesla-model-x/,Used,"$34,777",Solid Black,Black,"99,604 miles",Electric,,289 mi,Automatic Transmission,AWD,L - Electric,"Culver City, CA",Listed 46 days ago,5YJXCBE46KF154620,T31015P,0,2,Clean Title,Fleet,1/3/2025,TESLA,Model X,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),2019,5
2022 Toyota Prius LE FWD,https://www.truecar.com/used-cars-for-sale/listing/JTDKAMFU2N3180210/2022-toyota-prius/,Used,"$19,999",Black,Black,"21,058 miles",Hybrid,54 city / 50 highway,,Automatic Transmission,FWD,1.8L Inline-4 Hybrid Inline,"Los Angeles, CA",Listed 65 days ago,JTDKAMFU2N3180210,N3180210,0,1,Clean Title,Personal,12/15/2024,TOYOTA,Prius,,Hatchback/Liftback/Notchback,2022,
2020 Nissan Sentra SV CVT,https://www.truecar.com/used-cars-for-sale/listing/3N1AB8CV0LY263512/2020-nissan-sentra/,Used,"$10,999",Gun Metallic,Charcoal,"88,194 miles",Gas,29 city / 39 highway,,Automatic Transmission,FWD,2.0L Inline-4 Gas Inline,"Los Angeles, CA",Listed 11 days ago,3N1AB8CV0LY263512,LY263512,0,2,Clean Title,Personal,2/12/2025,NISSAN,Sentra,Grade SV,Sedan/Saloon,2020,5
2005 Acura TL Automatic,https://www.truecar.com/used-cars-for-sale/listing/19UUA66265A033405/2005-acura-tl/,Used,"$7,995",Gray,Unknown,"107,472 miles",Gas,20 city / 29 highway,,Automatic Transmission,FWD,3.2L V-6 Gas V,"Los Angeles, CA",Listed 16 days ago,19UUA66265A033405,A033405K,0,2,Clean Title,Personal,2/2/2025,ACURA,TL,BASE,Sedan/Saloon,2005,
2001 GMC Yukon Denali AWD,https://www.truecar.com/used-cars-for-sale/listing/1GKEK63U51J272769/2001-gmc-yukon/,Used,"$4,770",Summit White,Gray,"220,000 miles",Gas,12 city / 16 highway,,Automatic Transmission,AWD,6.0L V-8 Gas V,"Los Angeles, CA",Listed 24 days ago,1GKEK63U51J272769,null,0,4,Clean Title,Personal,1/25/2025,GMC,Yukon,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),2001,
2022 Toyota Prius LE FWD,https://www.truecar.com/used-cars-for-sale/listing/JTDKAMFUXN3180343/2022-toyota-prius/,Used,"$19,999",Black,Black,"21,498 miles",Hybrid,54 city / 50 highway,,Automatic Transmission,FWD,1.8L Inline-4 Hybrid Inline,"Los Angeles, CA",Listed 65 days ago,JTDKAMFUXN3180343,N3180343,0,1,Clean Title,Personal,12/15/2024,TOYOTA,Prius,,Hatchback/Liftback/Notchback,2022,
2022 Tesla Model Y Long Range AWD,https://www.truecar.com/used-cars-for-sale/listing/7SAYGAEE2NF402087/2022-tesla-model-y/,Used,"$20,999",Pearl White Multi-Coat,Black,"84,249 miles",Electric,,326 mi,Automatic Transmission,AWD,L - Electric,"Los Angeles, CA",Listed 34 days ago,7SAYGAEE2NF402087,402087,0,1,Clean Title,Personal,1/10/2025,TESLA,Model Y,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),2022,5
2016 Honda CR-V LX FWD,https://www.truecar.com/used-cars-for-sale/listing/2HKRM3H33GH501392/2016-honda-cr-v/,Used,"$9,966",Crystal Black Pearl,Black,"158,179 miles",Gas,26 city / 33 highway,,Automatic Transmission,FWD,2.4L Inline-4 Gas Inline,"Los Angeles, CA",Listed 87 days ago,2HKRM3H33GH501392,H501392T,0,2,Clean Title,Personal,2/6/2025,HONDA,CR-V,LX,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),2016,
